Sample name	002-w000_S45	002-w046_S23	009-w046_S58	010-w000_p4_S10	012-w000_S56	013-w014_S69	018-w000_S12	029-w000_S67	029-w014_S78	029-w046_S2	035-w000_S24	039-w000_S80	041-w014_S1	042-w000_S16	044-w046_p4_S33	046-w014_S47	048-w046_S13	051-w000_p4_S44	054-w046_S35	073-w046_S34	080-w000_p4_S65	080-w046_p4_S21	083-w000_S27	083-w014_S38	092-w046_p4_S76	099-w014_S4	099-w046_S15	105-w000_S26	108-w000_S46	108-w046_S57	109-w000_S81	109-w046_S5	111-w000_S49	111-w014_S60	113-w000_S37	116-w000_S68	116-w014_S79	116-w046_S3	118-w000_S48	119-w000_S59	119-w046_S70	13-T106-T-DM-CH_S71	138-w014_S14	138-w046_S25	14-T106-T-DM-CII_S28	14-T106-T-DM-III_S17	14-T26-T-DM-CI_S6	14-T26-T-DM-II_S82	14-TM48-T-DM-CII_S50	14-TM48-T-DM-III_S39	145-w000_S36	15-T52-T-DM-CH_S41	16-T106-TTR-CII_p4_S32	16-T26-T-DM-CH_S61	16-TM48-T-DM-CH_S72	18-S0-TTR-CI_p4_S87	22-T106-T-DM-III_S83	22-T52-TTR-III_p4_S11	26-T26-T-DM-IH_S7	26-T52-TTR-CII_p4_S55	28-T26-T-DM-CII_S18	28-T26-T-DM-IIA_S29	28-T52-T-DM-CII_S40	30-S0-TTR-CH_p4_S66	31-S0-TTR-IH_p4_S43	31-T106-T-DM-CII_S9	500_p4H11_S88	500_p4H9_S86	C11-T-DM-CA_S30	C11-T-DM-SIG_S19	C13-T-DM-CA_S52	C14-T-DM-ILI_S63	C14-T-DM-SIG_S74	C15-T-DM-CA_S85	C16-T-DM-SIG_S20	C17-T-DM-CA_S31	C18-T-DM-CA_S64	C18-T-DM-ILI_S42	C18-T-DM-SIG_S53	C2-T-DM-CA_S51	C2-T-DM-SIG_S62	C20-T-DM-CA_S75	C3-TTR-CA_p4_S77	C6-TTR-CA_p4_S54	C7-T-DM-ILI_S84	C7-T-DM-SIG_S73	C9-T-DM-SIG_S8	C9-TTR-CA_p4_S22
Alteromonas	186	20	26	3	99	52	9	21	36	44	186	49	136	4	16	57	61	19	41	3	111	5	7	404	103	46	237	9	154	88	245	223	21	605	2	61	169	4508	2	35	254	10	17	192	216	61	152	15	36	40	50	88	580	150	82	128	247	209	74	8	5	103	23	31	100	33	3	0	37	29	63	48	29	56	186	27	68	50	68	23	58	17	15	116	18	6	12	4
Aminobacterium	7	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	7	0	13	0	98	0	0	1	0	0	0	0	0	1	3	1	3	5	1	0	6	5	0	21	0	6	0	5	0	2	0	0	0	0	1	7	0	0	0	0	0	0	2	0	4	0	0	0	4	0	0	0	0	0	2	0	0	0	0
Ammonifex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amphibacillus	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	3	7	0	0	1	1	0	0	0	0	3	0	2	0	8	0	0	3	0	0	2	0	0	1	3	0	1	0	0	0	1	1	0	2	0	2	0	7	1	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus	11	2	0	0	6	2	0	0	0	0	77	1	4	65	2	5	7	2	0	0	10	0	0	0	1261	1	3	0	0	27	0	17	0	172	0	1	13	2	0	1	7	19	2	39	132	8	222	3	0	7	3	174	49	1	23	1	39	2	5	1	4	53	1	6	13	3	0	0	0	0	1	1	1	9	0	1	1	3	0	0	0	0	0	5	5	0	5	2
Anaerolinea	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaeromyxobacter	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	34	1	0	0	0	8	4	0	0	0	4	0	7	0	138	0	0	3	0	0	0	2	0	0	5	0	6	1	0	0	3	0	0	7	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Anaplasma	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	4	0	0	0	1	0	0	5	0	1	0	0	0	1	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Anoxybacillus	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	31	0	139	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Aquifex	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium	0	5	0	0	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	42	3	0	0	0	2	0	17	4	0	46	0	1	3	14	1	0	113	2	0	0	1	0	0	1	0	2	0	0	0	0	0	34	46	0	20	0	10	0	0	0	0	2	0	6	0	1	0	0	0	3	0	0	18	0	0	1	0	35	0	0	0	0	2	0	0	1	0	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arthrobacter	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	1	1	1	0	5	0	0	4	0	0	0	0	0	0	4	0	0	0	1	0	1	0	0	5	0	1	0	5	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Arthrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asticcacaulis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium	1	0	0	0	2	2	0	0	0	0	0	0	43	0	0	0	0	0	0	32	2	0	0	0	1	0	1	0	0	1	0	6	0	126	0	0	100	29	0	1	27	0	8	5	2	2	1	0	0	0	1	791	4	0	1	0	6	0	2	0	0	0	0	2	1	0	0	0	0	0	40	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Azoarcus	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Azospira	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Azospirillum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	24	0	0	0	0
Azotobacter	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	4	0	0	0	1	0	0	0	0	2	0	7	0	16	0	1	7	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	7	0	4	0	5	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	2	0	0	1	0	0	0	0
Bacillus	242	31	1	0	858	0	1	0	174	1	175	54	2275	0	30	423	30	404	14	377	3122	1	0	0	6033	137	17	0	0	308	2	1437	6	10864	0	34	216	173	0	19	343	5	356	407	101	219	375	4	40	94	76	38	5889	586	80	0	395	1807	827	79	5	19	0	775	33	5	0	0	0	1	118	62	84	76	337	31	2	66	14	2	13	0	39	33	68	71	1415	227
Bacteroides	46787	3972	56	6	7862	621	1	5	1599	609	4665	289	6573	325	684	2499	970	1036	737	5	1092	29	813	645	36151	3049	23	462	330	31766	11	32072	767	240276	288	810	23864	487	5	188	5713	4176	3204	10487	5009	39748	14156	2233	1640	8723	10195	50	106880	3187	45044	9	65802	19747	3508	2769	27	25	263	75	12661	2234	9	3	105	54	60	1999	61	21574	407	4172	818	3573	507	424	431	125	812	7139	3186	692	1935	991
Bartonella	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Basfia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	2	3	0	0	0	0	0	0	0	0	0
Bdellovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
